Node1,Node2,Endpoint1,Endpoint2
Rings,Shell weight,TAIL,ARROW
Rings,Diameter,TAIL,ARROW
Rings,Whole weight,TAIL,ARROW
Rings,Shucked weight,TAIL,ARROW
Length,Shell weight,TAIL,ARROW
Length,Diameter,TAIL,ARROW
Length,Whole weight,TAIL,ARROW
Length,Shucked weight,TAIL,ARROW
Length,Viscera weight,TAIL,ARROW
Shell weight,Shucked weight,TAIL,ARROW
Shell weight,Viscera weight,TAIL,ARROW
Diameter,Shell weight,TAIL,ARROW
Diameter,Height,TAIL,ARROW
Diameter,Whole weight,TAIL,ARROW
Height,Shell weight,TAIL,ARROW
Height,Whole weight,TAIL,ARROW
Height,Viscera weight,TAIL,ARROW
Whole weight,Shell weight,TAIL,ARROW
Whole weight,Shucked weight,TAIL,ARROW
Whole weight,Viscera weight,TAIL,ARROW
Shucked weight,Viscera weight,TAIL,ARROW
