cement,compressive strength,blast furnace slag,fly ash,water,superplasticizer,coarse aggregate,fine aggregate,age
540,79.99,0,0,162,2.5,1040,676,28
540,61.89,0,0,162,2.5,1055,676,28
332.5,40.27,142.5,0,228,0,932,594,270
332.5,41.05,142.5,0,228,0,932,594,365
198.6,44.3,132.4,0,192,0,978.4,825.5,360
266,47.03,114,0,228,0,932,670,90
380,43.7,95,0,228,0,932,594,365
380,36.45,95,0,228,0,932,594,28
266,45.85,114,0,228,0,932,670,28
475,39.29,0,0,228,0,932,594,28
198.6,38.07,132.4,0,192,0,978.4,825.5,90
198.6,28.02,132.4,0,192,0,978.4,825.5,28
427.5,43.01,47.5,0,228,0,932,594,270
190,42.33,190,0,228,0,932,670,90
304,47.81,76,0,228,0,932,670,28
380,52.91,0,0,228,0,932,670,90
139.6,39.36,209.4,0,192,0,1047,806.9,90
342,56.14,38,0,228,0,932,670,365
380,40.56,95,0,228,0,932,594,90
475,42.62,0,0,228,0,932,594,180
427.5,41.84,47.5,0,228,0,932,594,180
139.6,28.24,209.4,0,192,0,1047,806.9,28
139.6,8.06,209.4,0,192,0,1047,806.9,3
139.6,44.21,209.4,0,192,0,1047,806.9,180
380,52.52,0,0,228,0,932,670,365
380,53.3,0,0,228,0,932,670,270
380,41.15,95,0,228,0,932,594,270
342,52.12,38,0,228,0,932,670,180
427.5,37.43,47.5,0,228,0,932,594,28
475,38.6,0,0,228,0,932,594,7
304,55.26,76,0,228,0,932,670,365
266,52.91,114,0,228,0,932,670,365
198.6,41.72,132.4,0,192,0,978.4,825.5,180
475,42.13,0,0,228,0,932,594,270
190,53.69,190,0,228,0,932,670,365
237.5,38.41,237.5,0,228,0,932,594,270
237.5,30.08,237.5,0,228,0,932,594,28
332.5,37.72,142.5,0,228,0,932,594,90
475,42.23,0,0,228,0,932,594,90
237.5,36.25,237.5,0,228,0,932,594,180
342,50.46,38,0,228,0,932,670,90
427.5,43.7,47.5,0,228,0,932,594,365
237.5,39,237.5,0,228,0,932,594,365
380,53.1,0,0,228,0,932,670,180
427.5,41.54,47.5,0,228,0,932,594,90
427.5,35.08,47.5,0,228,0,932,594,7
349,15.05,0,0,192,0,1047,806.9,3
380,40.76,95,0,228,0,932,594,180
237.5,26.26,237.5,0,228,0,932,594,7
380,32.82,95,0,228,0,932,594,7
332.5,39.78,142.5,0,228,0,932,594,180
190,46.93,190,0,228,0,932,670,180
237.5,33.12,237.5,0,228,0,932,594,90
304,49.19,76,0,228,0,932,670,90
139.6,14.59,209.4,0,192,0,1047,806.9,7
198.6,14.64,132.4,0,192,0,978.4,825.5,7
475,41.93,0,0,228,0,932,594,365
198.6,9.13,132.4,0,192,0,978.4,825.5,3
304,50.95,76,0,228,0,932,670,180
332.5,33.02,142.5,0,228,0,932,594,28
304,54.38,76,0,228,0,932,670,270
266,51.73,114,0,228,0,932,670,270
310,9.87,0,0,192,0,971,850.6,3
190,50.66,190,0,228,0,932,670,270
266,48.7,114,0,228,0,932,670,180
342,55.06,38,0,228,0,932,670,270
139.6,44.7,209.4,0,192,0,1047,806.9,360
332.5,30.28,142.5,0,228,0,932,594,7
190,40.86,190,0,228,0,932,670,28
485,71.99,0,0,146,0,1120,800,28
374,34.4,189.2,0,170.1,10.1,926.1,756.7,3
313.3,28.8,262.2,0,175.5,8.6,1046.9,611.8,3
425,33.4,106.3,0,153.5,16.5,852.1,887.1,3
425,36.3,106.3,0,151.4,18.6,936,803.7,3
375,29,93.8,0,126.6,23.4,852.1,992.6,3
475,37.8,118.8,0,181.1,8.9,852.1,781.5,3
469,40.2,117.2,0,137.8,32.2,852.1,840.5,3
425,33.4,106.3,0,153.5,16.5,852.1,887.1,3
388.6,28.1,97.1,0,157.9,12.1,852.1,925.7,3
