Rings,Length,Shell weight,Diameter,Height,Whole weight,Shucked weight,Viscera weight
15,0.455,0.15,0.365,0.095,0.514,0.2245,0.101
7,0.35,0.07,0.265,0.09,0.2255,0.0995,0.0485
9,0.53,0.21,0.42,0.135,0.677,0.2565,0.1415
10,0.44,0.155,0.365,0.125,0.516,0.2155,0.114
7,0.33,0.055,0.255,0.08,0.205,0.0895,0.0395
8,0.425,0.12,0.3,0.095,0.3515,0.141,0.0775
20,0.53,0.33,0.415,0.15,0.7775,0.237,0.1415
16,0.545,0.26,0.425,0.125,0.768,0.294,0.1495
9,0.475,0.165,0.37,0.125,0.5095,0.2165,0.1125
19,0.55,0.32,0.44,0.15,0.8945,0.3145,0.151
14,0.525,0.21,0.38,0.14,0.6065,0.194,0.1475
10,0.43,0.135,0.35,0.11,0.406,0.1675,0.081
11,0.49,0.19,0.38,0.135,0.5415,0.2175,0.095
10,0.535,0.205,0.405,0.145,0.6845,0.2725,0.171
10,0.47,0.185,0.355,0.1,0.4755,0.1675,0.0805
12,0.5,0.24,0.4,0.13,0.6645,0.258,0.133
7,0.355,0.115,0.28,0.085,0.2905,0.095,0.0395
10,0.44,0.13,0.34,0.1,0.451,0.188,0.087
7,0.365,0.1,0.295,0.08,0.2555,0.097,0.043
9,0.45,0.115,0.32,0.1,0.381,0.1705,0.075
11,0.355,0.075,0.28,0.095,0.2455,0.0955,0.062
10,0.38,0.085,0.275,0.1,0.2255,0.08,0.049
12,0.565,0.27,0.44,0.155,0.9395,0.4275,0.214
9,0.55,0.2,0.415,0.135,0.7635,0.318,0.21
10,0.615,0.305,0.48,0.165,1.1615,0.513,0.301
11,0.56,0.3,0.44,0.14,0.9285,0.3825,0.188
11,0.58,0.285,0.45,0.185,0.9955,0.3945,0.272
12,0.59,0.28,0.445,0.14,0.931,0.356,0.234
15,0.605,0.295,0.475,0.18,0.9365,0.394,0.219
11,0.575,0.2,0.425,0.14,0.8635,0.393,0.227
10,0.58,0.33,0.47,0.165,0.9975,0.3935,0.242
