Date,Year,Month,Day,DayOfWeek,BitcoinPrice,GoldPrice,△BitcoinPrice/△Date,△GoldPrice/△Date
2016-11-10,2016,11,10,Thursday,614.77,1267.5,-6.879999999999996,-13.900000000000093
2017-01-09,2017,1,9,Monday,4911.740017,1178.5,837.4991153333334,0.8833333333333636
2017-01-10,2017,1,10,Tuesday,4360.722967,1189.5,-551.0170500000004,11.0
2017-02-09,2017,2,9,Thursday,4580.38748,1236.8,1886.753497,-5.2999999999999545
2017-02-10,2017,2,10,Friday,4386.88375,1228.3,-193.5037300000004,-8.5
2017-03-09,2017,3,9,Thursday,4585.57,1206.55,1791.4522829999996,-2.650000000000091
2017-03-10,2017,3,10,Friday,4394.07,1202.65,-191.5,-3.899999999999864
2017-04-10,2017,4,10,Monday,4225.175,1250.05,541.815054,-5.466666666666697
2017-05-09,2017,5,9,Tuesday,4488.72014,1220.4,1270.6051230000005,-9.399999999999864
2017-06-09,2017,6,9,Friday,4385.02,1266.55,1132.4574670000006,-6.5499999999999545
2017-07-10,2017,7,10,Monday,4376.191667,1211.9,628.330151,-1.25
2017-08-10,2017,8,10,Thursday,4602.280883,1284.4,291.53070000000025,13.350000000000136
2017-10-09,2017,10,9,Monday,4329.955,1278.75,494.86071433333336,5.650000000000016
2017-10-10,2017,10,10,Tuesday,4782.28,1291.4,452.3249999999998,12.650000000000093
2017-11-09,2017,11,9,Thursday,4248.090017,1284.8,615.5833500000003,0.7999999999999545
2017-11-10,2017,11,10,Friday,4819.485767,1284.3,571.3957499999997,-0.5
2018-01-09,2018,1,9,Tuesday,7018.78,1311.0,-552.0891670000001,-8.950000000000045
2018-02-09,2018,2,9,Friday,7247.935385,1314.1,-359.76461500000005,-1.3500000000001364
2018-03-09,2018,3,9,Friday,7260.949231,1320.6,-133.54993600000034,-0.4000000000000909
2018-04-09,2018,4,9,Monday,7265.08,1331.95,-78.39777766666673,0.25
2018-04-10,2018,4,10,Tuesday,6483.73,1338.95,-781.3500000000004,7.0
2018-05-10,2018,5,10,Thursday,6568.549167,1318.8,-544.5200640000003,4.9500000000000455
2018-07-09,2018,7,9,Monday,6501.19,1262.05,-391.6938890000001,2.2333333333333485
2018-07-10,2018,7,10,Tuesday,6573.62,1254.0,72.43000000000029,-8.049999999999955
2018-08-09,2018,8,9,Thursday,6366.1075,1214.35,-352.1224999999995,4.7999999999999545
2018-08-10,2018,8,10,Friday,6618.567692,1214.4,252.46019199999955,0.0500000000001819
2018-09-10,2018,9,10,Monday,6621.711667,1196.6,-34.109444333333464,-0.7666666666667273
2018-10-09,2018,10,9,Tuesday,6240.98,1185.55,-155.51466700000037,-1.400000000000091
2018-11-09,2018,11,9,Friday,6296.320833,1211.4,157.36083299999973,-12.75
2018-12-10,2018,12,10,Monday,6260.530833,1245.35,-47.5497223333335,0.6833333333333181
2019-01-10,2019,1,10,Thursday,8307.74,1291.9,-1293.16,3.300000000000182
2019-04-09,2019,4,9,Tuesday,10621.29,1303.0,-193.27999999999884,3.0
2019-05-09,2019,5,9,Thursday,10584.16,1286.1,-396.0699999999997,0.8999999999998636
2019-05-10,2019,5,10,Friday,8155.48,1287.1,-2428.6800000000003,1.0
2019-06-10,2019,6,10,Monday,8147.69,1328.6,-935.8233333333334,-4.016666666666727
2019-07-09,2019,7,9,Tuesday,10317.47,1391.55,-1148.2000000000007,-8.549999999999955
2019-08-09,2019,8,9,Friday,10487.21,1497.7,-1473.6100000000006,1.9500000000000453
2019-09-09,2019,9,9,Monday,10406.31,1509.2,824.9899999999998,-4.833333333333333
2019-09-10,2019,9,10,Tuesday,8190.0,1498.25,-2216.3099999999995,-10.950000000000044
2019-10-10,2019,10,10,Thursday,8587.92,1494.8,-1725.7399999999998,-12.450000000000044
2019-12-09,2019,12,9,Monday,10159.32,1461.7,747.2466666666666,0.6833333333333181
2019-12-10,2019,12,10,Tuesday,8269.73,1464.95,-1889.59,3.25
