Date,Year,Month,Day,DayOfWeek,BitcoinPrice,GoldPrice,△BitcoinPrice/△Date,△GoldPrice/△Date
2017-06-07,2017,6,7,Wednesday,2609.96775,1291.0,-273.34594700000025,-2.5
2017-06-09,2017,6,9,Friday,4385.02,1266.55,1132.4574670000006,-6.5499999999999545
2018-02-05,2018,2,5,Monday,9221.426,1333.6,106.5081109999998,0.816666666666606
2018-02-06,2018,2,6,Tuesday,7645.146667,1331.4,-1576.2793329999995,-2.199999999999818
2018-02-07,2018,2,7,Wednesday,6466.069167,1324.65,-1179.0775000000003,-6.75
2018-02-09,2018,2,9,Friday,7247.935385,1314.1,-359.76461500000005,-1.3500000000001364
2018-03-05,2018,3,5,Monday,9639.268333,1320.4,262.1794443333335,-0.6333333333332879
2018-03-06,2018,3,6,Tuesday,7637.14,1331.4,-2002.128333,11.0
2018-03-07,2018,3,7,Wednesday,6626.44,1329.4,-1010.7000000000008,-2.0
2018-03-09,2018,3,9,Friday,7260.949231,1320.6,-133.54993600000034,-0.4000000000000909
2018-04-03,2018,4,3,Tuesday,11430.18167,1333.45,331.34462136363635,0.6499999999999979
2018-04-06,2018,4,6,Friday,7500.273333,1331.2,-2253.0766670000003,3.5
2018-04-09,2018,4,9,Monday,7265.08,1331.95,-78.39777766666673,0.25
2018-04-10,2018,4,10,Tuesday,6483.73,1338.95,-781.3500000000004,7.0
2018-04-11,2018,4,11,Wednesday,6391.873333,1350.75,-91.85666700000002,11.799999999999956
2018-05-08,2018,5,8,Tuesday,7011.28,1306.6,46.19249999999988,-0.7000000000000455
2018-05-09,2018,5,9,Wednesday,7113.069231,1313.85,101.78923100000064,7.25
2018-05-10,2018,5,10,Thursday,6568.549167,1318.8,-544.5200640000003,4.9500000000000455
2018-05-11,2018,5,11,Friday,6436.965,1324.35,-131.58416699999998,5.5499999999999545
2018-06-06,2018,6,6,Wednesday,7619.43,1300.1,-2010.7062769999995,8.049999999999955
2018-06-07,2018,6,7,Thursday,6555.51,1297.25,-1063.92,-2.849999999999909
2018-06-08,2018,6,8,Friday,6988.079167,1298.25,432.56916699999965,1.0
2018-06-11,2018,6,11,Monday,6437.76,1299.6,-183.4397223333332,0.4499999999999697
2019-02-04,2019,2,4,Monday,4152.53,1312.15,98.8833333333332,-2.183333333333318
2019-02-05,2019,2,5,Tuesday,5326.67,1314.2,1174.1400000000003,2.0499999999999545
2019-02-07,2019,2,7,Thursday,10578.72,1310.0,2023.92,-2.400000000000091
2019-02-08,2019,2,8,Friday,10407.17,1314.85,-171.54999999999927,4.849999999999909
