altitude,temperature,precipitation,longitude,sunshine
205.0,9.7,828.3,6.08,1552.0
325.0,8.1,803.0,13.08,1571.7
215.0,9.4,585.6,8.12,1594.0
383.0,7.8,701.0,11.85,1590.5
413.0,8.3,721.9,10.57,1627.0
242.0,8.4,1028.4,8.07,1432.1
164.0,8.5,417.1,11.28,1459.1
239.0,8.5,634.0,10.9,1563.3
330.0,7.7,709.7,11.55,1491.6
252.0,9.8,803.8,7.98,1668.4
120.0,10.1,706.0,7.07,1358.5
363.0,8.8,876.0,6.68,1688.9
290.0,7.7,901.7,8.52,1412.9
412.0,7.5,965.2,9.48,1518.8
373.0,8.3,625.5,9.63,1639.5
310.0,7.8,908.8,9.78,1492.1
340.0,8.1,804.1,9.32,1596.3
396.0,7.9,752.4,12.67,1660.4
418.0,7.9,700.7,12.87,1532.6
133.0,10.0,673.5,8.58,1685.8
97.0,8.5,559.8,13.57,1626.0
227.0,8.9,666.7,13.75,1581.4
192.0,8.3,1097.9,9.03,1358.8
123.0,8.8,644.2,9.88,1317.5
146.0,8.5,507.5,11.57,1504.0
144.0,8.6,1200.2,7.42,1367.1
443.6,7.8,803.7,11.8,1659.9
316.0,7.9,500.4,10.95,1588.3
408.0,8.8,1096.7,9.53,1554.8
270.0,8.6,701.4,11.0,1548.5
234.0,10.1,680.6,7.65,1668.2
150.0,9.6,931.4,6.97,1453.7
112.0,9.7,657.8,8.58,1586.1
125.0,9.7,648.6,8.67,1515.3
394.0,9.1,1009.6,9.48,1691.0
255.0,8.0,664.7,9.67,1368.0
118.0,9.9,548.1,7.95,1587.0
311.0,7.8,591.5,12.12,1601.9
186.0,9.1,652.6,8.68,1504.2
238.0,8.2,656.7,14.95,1649.1
173.0,8.7,644.9,9.95,1421.8
300.0,7.4,1052.5,10.23,1291.4
93.0,9.1,450.8,11.95,1403.7
269.0,8.5,811.1,10.53,1358.8
404.0,6.8,552.6,11.13,1510.3
111.0,10.6,726.7,8.65,1550.9
140.0,8.9,608.0,11.02,1372.6
350.0,8.5,1422.0,8.43,1313.3
272.0,8.7,718.1,9.73,1385.4
242.0,7.7,756.0,9.47,1254.0
128.0,8.9,795.1,9.45,1273.2
440.0,6.9,1028.1,9.53,1335.1
438.0,7.6,872.0,11.67,1734.6
155.0,9.3,584.7,11.58,1427.2
270.0,9.4,655.6,7.73,1403.2
374.0,7.8,715.1,11.28,1505.8
112.0,10.3,770.3,8.35,1691.4
231.0,8.5,698.4,9.43,1448.3
282.0,8.6,729.0,10.07,1452.0
92.0,9.6,803.0,7.15,1504.2
417.0,7.8,684.6,11.48,1620.0
443.0,9.2,849.0,9.18,1640.2
102.0,9.5,517.2,7.87,1512.3
436.0,8.1,844.7,12.15,1703.5
119.0,8.9,470.4,11.87,1346.3
300.0,7.5,915.5,10.47,1337.4
344.5,8.1,745.9,10.97,1574.8
365.0,7.8,692.5,12.5,1659.9
356.0,7.5,662.6,10.3,1528.9
