cement,compressive strength,blast furnace slag,fly ash,water,superplasticizer,coarse aggregate,fine aggregate,age
332.5,40.27,142.5,0.0,228.0,0.0,932.0,594.0,270
332.5,41.05,142.5,0.0,228.0,0.0,932.0,594.0,365
198.6,44.3,132.4,0.0,192.0,0.0,978.4,825.5,360
266.0,47.03,114.0,0.0,228.0,0.0,932.0,670.0,90
266.0,45.85,114.0,0.0,228.0,0.0,932.0,670.0,28
198.6,38.07,132.4,0.0,192.0,0.0,978.4,825.5,90
198.6,28.02,132.4,0.0,192.0,0.0,978.4,825.5,28
190.0,42.33,190.0,0.0,228.0,0.0,932.0,670.0,90
139.6,39.36,209.4,0.0,192.0,0.0,1047.0,806.9,90
139.6,28.24,209.4,0.0,192.0,0.0,1047.0,806.9,28
139.6,8.06,209.4,0.0,192.0,0.0,1047.0,806.9,3
139.6,44.21,209.4,0.0,192.0,0.0,1047.0,806.9,180
266.0,52.91,114.0,0.0,228.0,0.0,932.0,670.0,365
198.6,41.72,132.4,0.0,192.0,0.0,978.4,825.5,180
190.0,53.69,190.0,0.0,228.0,0.0,932.0,670.0,365
237.5,38.41,237.5,0.0,228.0,0.0,932.0,594.0,270
237.5,30.08,237.5,0.0,228.0,0.0,932.0,594.0,28
332.5,37.72,142.5,0.0,228.0,0.0,932.0,594.0,90
237.5,36.25,237.5,0.0,228.0,0.0,932.0,594.0,180
237.5,39.0,237.5,0.0,228.0,0.0,932.0,594.0,365
237.5,26.26,237.5,0.0,228.0,0.0,932.0,594.0,7
332.5,39.78,142.5,0.0,228.0,0.0,932.0,594.0,180
190.0,46.93,190.0,0.0,228.0,0.0,932.0,670.0,180
237.5,33.12,237.5,0.0,228.0,0.0,932.0,594.0,90
139.6,14.59,209.4,0.0,192.0,0.0,1047.0,806.9,7
198.6,14.64,132.4,0.0,192.0,0.0,978.4,825.5,7
198.6,9.13,132.4,0.0,192.0,0.0,978.4,825.5,3
332.5,33.02,142.5,0.0,228.0,0.0,932.0,594.0,28
266.0,51.73,114.0,0.0,228.0,0.0,932.0,670.0,270
190.0,50.66,190.0,0.0,228.0,0.0,932.0,670.0,270
266.0,48.7,114.0,0.0,228.0,0.0,932.0,670.0,180
139.6,44.7,209.4,0.0,192.0,0.0,1047.0,806.9,360
332.5,30.28,142.5,0.0,228.0,0.0,932.0,594.0,7
190.0,40.86,190.0,0.0,228.0,0.0,932.0,670.0,28
374.0,34.4,189.2,0.0,170.1,10.1,926.1,756.7,3
313.3,28.8,262.2,0.0,175.5,8.6,1046.9,611.8,3
425.0,33.4,106.3,0.0,153.5,16.5,852.1,887.1,3
425.0,36.3,106.3,0.0,151.4,18.6,936.0,803.7,3
475.0,37.8,118.8,0.0,181.1,8.9,852.1,781.5,3
469.0,40.2,117.2,0.0,137.8,32.2,852.1,840.5,3
425.0,33.4,106.3,0.0,153.5,16.5,852.1,887.1,3
388.6,28.1,97.1,0.0,157.9,12.1,852.1,925.7,3
425.0,33.4,106.3,0.0,153.5,16.5,852.1,887.1,3
318.8,25.2,212.5,0.0,155.7,14.3,852.1,880.4,3
362.6,35.3,189.0,0.0,164.9,11.6,944.7,755.8,3
323.7,28.3,282.8,0.0,183.8,10.3,942.7,659.9,3
379.5,28.6,151.2,0.0,153.9,15.9,1134.3,605.0,3
362.6,35.3,189.0,0.0,164.9,11.6,944.7,755.8,3
286.3,24.4,200.9,0.0,144.7,11.2,1004.6,803.7,3
362.6,35.3,189.0,0.0,164.9,11.6,944.7,755.8,3
439.0,39.3,177.0,0.0,186.0,11.1,884.9,707.9,3
389.9,40.6,189.0,0.0,145.9,22.0,944.7,755.8,3
362.6,35.3,189.0,0.0,164.9,11.6,944.7,755.8,3
337.9,24.1,189.0,0.0,174.9,9.5,944.7,755.8,3
374.0,46.2,189.2,0.0,170.1,10.1,926.1,756.7,7
313.3,42.8,262.2,0.0,175.5,8.6,1046.9,611.8,7
425.0,49.2,106.3,0.0,153.5,16.5,852.1,887.1,7
425.0,46.8,106.3,0.0,151.4,18.6,936.0,803.7,7
475.0,55.6,118.8,0.0,181.1,8.9,852.1,781.5,7
469.0,54.9,117.2,0.0,137.8,32.2,852.1,840.5,7
425.0,49.2,106.3,0.0,153.5,16.5,852.1,887.1,7
388.6,34.9,97.1,0.0,157.9,12.1,852.1,925.7,7
425.0,49.2,106.3,0.0,153.5,16.5,852.1,887.1,7
318.8,33.4,212.5,0.0,155.7,14.3,852.1,880.4,7
362.6,55.9,189.0,0.0,164.9,11.6,944.7,755.8,7
323.7,49.8,282.8,0.0,183.8,10.3,942.7,659.9,7
379.5,47.1,151.2,0.0,153.9,15.9,1134.3,605.0,7
362.6,55.9,189.0,0.0,164.9,11.6,944.7,755.8,7
286.3,38.0,200.9,0.0,144.7,11.2,1004.6,803.7,7
362.6,55.9,189.0,0.0,164.9,11.6,944.7,755.8,7
439.0,56.1,177.0,0.0,186.0,11.1,884.9,707.9,7
389.9,59.09,189.0,0.0,145.9,22.0,944.7,755.8,7
362.6,22.9,189.0,0.0,164.9,11.6,944.7,755.8,7
337.9,35.1,189.0,0.0,174.9,9.5,944.7,755.8,7
374.0,61.09,189.2,0.0,170.1,10.1,926.1,756.7,28
313.3,59.8,262.2,0.0,175.5,8.6,1046.9,611.8,28
425.0,60.29,106.3,0.0,153.5,16.5,852.1,887.1,28
425.0,61.8,106.3,0.0,151.4,18.6,936.0,803.7,28
475.0,68.3,118.8,0.0,181.1,8.9,852.1,781.5,28
469.0,66.9,117.2,0.0,137.8,32.2,852.1,840.5,28
425.0,60.29,106.3,0.0,153.5,16.5,852.1,887.1,28
388.6,50.7,97.1,0.0,157.9,12.1,852.1,925.7,28
