cement,compressive strength,blast furnace slag,fly ash,water,superplasticizer,coarse aggregate,fine aggregate,age
540.0,79.99,0.0,0.0,162.0,2.5,1040.0,676.0,28
540.0,61.89,0.0,0.0,162.0,2.5,1055.0,676.0,28
332.5,40.27,142.5,0.0,228.0,0.0,932.0,594.0,270
332.5,41.05,142.5,0.0,228.0,0.0,932.0,594.0,365
380.0,43.7,95.0,0.0,228.0,0.0,932.0,594.0,365
380.0,36.45,95.0,0.0,228.0,0.0,932.0,594.0,28
475.0,39.29,0.0,0.0,228.0,0.0,932.0,594.0,28
427.5,43.01,47.5,0.0,228.0,0.0,932.0,594.0,270
304.0,47.81,76.0,0.0,228.0,0.0,932.0,670.0,28
380.0,52.91,0.0,0.0,228.0,0.0,932.0,670.0,90
342.0,56.14,38.0,0.0,228.0,0.0,932.0,670.0,365
380.0,40.56,95.0,0.0,228.0,0.0,932.0,594.0,90
475.0,42.62,0.0,0.0,228.0,0.0,932.0,594.0,180
427.5,41.84,47.5,0.0,228.0,0.0,932.0,594.0,180
380.0,52.52,0.0,0.0,228.0,0.0,932.0,670.0,365
380.0,53.3,0.0,0.0,228.0,0.0,932.0,670.0,270
380.0,41.15,95.0,0.0,228.0,0.0,932.0,594.0,270
342.0,52.12,38.0,0.0,228.0,0.0,932.0,670.0,180
427.5,37.43,47.5,0.0,228.0,0.0,932.0,594.0,28
475.0,38.6,0.0,0.0,228.0,0.0,932.0,594.0,7
304.0,55.26,76.0,0.0,228.0,0.0,932.0,670.0,365
475.0,42.13,0.0,0.0,228.0,0.0,932.0,594.0,270
332.5,37.72,142.5,0.0,228.0,0.0,932.0,594.0,90
475.0,42.23,0.0,0.0,228.0,0.0,932.0,594.0,90
342.0,50.46,38.0,0.0,228.0,0.0,932.0,670.0,90
427.5,43.7,47.5,0.0,228.0,0.0,932.0,594.0,365
380.0,53.1,0.0,0.0,228.0,0.0,932.0,670.0,180
427.5,41.54,47.5,0.0,228.0,0.0,932.0,594.0,90
427.5,35.08,47.5,0.0,228.0,0.0,932.0,594.0,7
