cement,compressive strength,blast furnace slag,fly ash,water,superplasticizer,coarse aggregate,fine aggregate,age
222.4,11.58,0.0,96.7,189.3,4.5,967.1,870.3,3
222.4,24.45,0.0,96.7,189.3,4.5,967.1,870.3,14
222.4,24.89,0.0,96.7,189.3,4.5,967.1,870.3,28
222.4,29.45,0.0,96.7,189.3,4.5,967.1,870.3,56
222.4,40.71,0.0,96.7,189.3,4.5,967.1,870.3,100
233.8,10.38,0.0,94.6,197.9,4.6,947.0,852.2,3
233.8,22.14,0.0,94.6,197.9,4.6,947.0,852.2,14
233.8,22.84,0.0,94.6,197.9,4.6,947.0,852.2,28
233.8,27.66,0.0,94.6,197.9,4.6,947.0,852.2,56
233.8,34.56,0.0,94.6,197.9,4.6,947.0,852.2,100
194.7,12.45,0.0,100.5,165.6,7.5,1006.4,905.9,3
194.7,24.99,0.0,100.5,165.6,7.5,1006.4,905.9,14
194.7,25.72,0.0,100.5,165.6,7.5,1006.4,905.9,28
194.7,33.96,0.0,100.5,165.6,7.5,1006.4,905.9,56
194.7,37.34,0.0,100.5,165.6,7.5,1006.4,905.9,100
190.7,15.04,0.0,125.4,162.1,7.8,1090.0,804.0,3
190.7,21.06,0.0,125.4,162.1,7.8,1090.0,804.0,14
190.7,26.4,0.0,125.4,162.1,7.8,1090.0,804.0,28
190.7,35.34,0.0,125.4,162.1,7.8,1090.0,804.0,56
190.7,40.57,0.0,125.4,162.1,7.8,1090.0,804.0,100
212.1,12.47,0.0,121.6,180.3,5.7,1057.6,779.3,3
212.1,20.92,0.0,121.6,180.3,5.7,1057.6,779.3,14
212.1,24.9,0.0,121.6,180.3,5.7,1057.6,779.3,28
212.1,34.2,0.0,121.6,180.3,5.7,1057.6,779.3,56
212.1,39.61,0.0,121.6,180.3,5.7,1057.6,779.3,100
230.0,10.03,0.0,118.3,195.5,4.6,1029.4,758.6,3
230.0,20.08,0.0,118.3,195.5,4.6,1029.4,758.6,14
230.0,24.48,0.0,118.3,195.5,4.6,1029.4,758.6,28
230.0,31.54,0.0,118.3,195.5,4.6,1029.4,758.6,56
230.0,35.34,0.0,118.3,195.5,4.6,1029.4,758.6,100
190.3,9.45,0.0,125.2,161.9,9.9,1088.1,802.6,3
190.3,22.72,0.0,125.2,161.9,9.9,1088.1,802.6,14
190.3,28.47,0.0,125.2,161.9,9.9,1088.1,802.6,28
190.3,38.56,0.0,125.2,161.9,9.9,1088.1,802.6,56
190.3,40.39,0.0,125.2,161.9,9.9,1088.1,802.6,100
166.1,10.76,0.0,163.3,176.5,4.5,1058.6,780.1,3
166.1,25.48,0.0,163.3,176.5,4.5,1058.6,780.1,14
166.1,21.54,0.0,163.3,176.5,4.5,1058.6,780.1,28
166.1,28.63,0.0,163.3,176.5,4.5,1058.6,780.1,56
166.1,33.54,0.0,163.3,176.5,4.5,1058.6,780.1,100
168.0,7.75,42.1,163.8,121.8,5.7,1058.7,780.1,3
168.0,17.82,42.1,163.8,121.8,5.7,1058.7,780.1,14
168.0,24.24,42.1,163.8,121.8,5.7,1058.7,780.1,28
168.0,32.85,42.1,163.8,121.8,5.7,1058.7,780.1,56
168.0,39.23,42.1,163.8,121.8,5.7,1058.7,780.1,100
229.7,13.36,0.0,118.2,195.2,6.1,1028.1,757.6,3
229.7,22.32,0.0,118.2,195.2,6.1,1028.1,757.6,14
229.7,24.54,0.0,118.2,195.2,6.1,1028.1,757.6,28
229.7,31.35,0.0,118.2,195.2,6.1,1028.1,757.6,56
229.7,40.86,0.0,118.2,195.2,6.1,1028.1,757.6,100
238.1,19.93,0.0,94.1,186.7,7.0,949.9,847.0,3
238.1,25.69,0.0,94.1,186.7,7.0,949.9,847.0,14
238.1,30.23,0.0,94.1,186.7,7.0,949.9,847.0,28
238.1,39.59,0.0,94.1,186.7,7.0,949.9,847.0,56
238.1,44.3,0.0,94.1,186.7,7.0,949.9,847.0,100
