altitude,temperature,precipitation,longitude,sunshine
205.0,9.7,828.3,6.08,1552.0
4.0,8.4,823.6,7.47,1455.5
120.0,10.1,706.0,7.07,1358.5
363.0,8.8,876.0,6.68,1688.9
21.0,9.4,752.5,6.53,1514.6
62.0,10.2,680.6,7.13,1461.3
5.0,9.1,784.4,6.73,1661.5
480.0,7.9,814.0,7.05,1633.6
37.0,10.3,772.9,6.77,1504.1
37.0,10.3,756.8,6.75,1473.4
85.0,9.8,723.3,6.55,1495.7
12.0,9.1,767.8,7.18,1547.4
0.0,8.8,805.1,7.22,1512.0
144.0,8.6,1200.2,7.42,1367.1
150.0,9.6,931.4,6.97,1453.7
530.0,6.9,983.2,6.55,1428.9
91.0,9.6,675.7,6.4,1464.7
505.0,7.3,860.1,6.52,1527.8
46.0,9.6,754.1,6.08,1445.0
92.0,9.6,803.0,7.15,1504.2
5.0,8.7,736.6,7.47,1543.0
44.0,10.8,774.4,6.97,1426.8
22.0,9.4,798.9,7.3,1460.2
58.0,9.4,808.4,7.4,1426.4
419.0,7.8,907.9,6.8,1473.0
111.0,9.8,661.6,7.08,1370.0
11.0,9.0,769.3,7.15,1628.0
627.0,6.7,871.6,6.95,1540.9
109.0,9.6,874.2,7.17,1459.4
320.0,8.9,862.9,7.1,1660.8
193.0,10.4,820.7,7.02,1393.8
396.0,8.4,1001.4,7.03,1626.6
144.0,9.9,754.1,6.63,1264.5
265.0,9.1,784.3,6.65,1572.6
146.0,9.6,623.6,6.78,1379.0
