gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
1,0,3,0,0,47,57,44
1,1,2,0,0,40,43,39
1,3,1,0,1,64,64,67
0,1,1,0,0,38,60,50
1,2,3,1,0,58,54,52
1,3,3,1,0,40,52,43
0,1,1,1,0,65,81,73
0,0,5,1,0,50,53,58
0,1,0,0,0,18,32,28
1,2,5,0,1,46,42,46
0,2,3,0,0,54,58,61
1,3,1,1,0,66,69,63
0,1,2,0,1,65,75,70
1,3,2,1,0,44,54,53
0,3,5,1,0,62,70,75
0,1,2,1,0,63,65,61
0,4,5,0,0,56,72,65
1,3,2,1,0,40,42,38
0,3,0,0,0,50,64,59
1,1,3,0,0,57,56,57
1,2,3,0,0,55,61,54
0,2,3,1,0,58,73,68
0,1,3,1,0,53,58,65
1,1,2,0,1,59,65,66
0,4,3,0,0,50,56,54
1,1,3,1,0,65,54,57
0,0,3,1,1,55,65,62
0,2,1,1,0,66,71,76
0,3,3,0,1,57,74,76
1,4,2,1,0,53,55,48
1,2,2,1,0,53,44,42
0,2,1,0,0,33,41,43
1,3,3,1,0,52,55,49
1,3,2,1,1,58,59,58
0,2,0,0,0,0,17,10
1,0,0,0,0,39,39,34
1,0,3,0,0,62,61,55
0,3,0,1,0,59,58,59
1,3,0,0,0,45,37,37
0,2,2,1,0,60,72,74
1,1,3,0,0,61,58,56
0,2,3,1,0,39,64,57
0,3,2,0,1,58,63,73
1,3,2,1,1,63,55,63
0,0,3,0,0,41,51,48
1,2,0,0,0,61,57,56
1,2,0,1,0,49,49,41
1,1,3,0,0,44,41,38
1,4,0,1,0,30,26,22
0,3,0,1,1,61,74,72
0,4,5,1,0,62,68,68
0,1,3,1,0,47,49,50
1,1,1,0,0,49,45,45
1,0,2,0,1,50,47,54
1,3,1,0,0,42,39,34
0,0,2,1,0,58,70,67
0,2,4,1,0,65,72,74
1,2,1,0,0,27,34,36
1,2,3,0,1,43,45,50
1,1,0,1,1,65,66,62
0,4,2,1,1,63,72,70
0,3,2,0,0,58,67,62
0,3,4,1,0,65,67,62
1,1,1,1,1,60,44,47
0,2,2,1,0,58,67,72
1,4,3,1,1,66,63,64
0,1,3,0,0,52,76,70
1,2,1,1,0,62,55,49
1,0,3,1,0,54,53,47
0,3,2,1,0,51,58,54
0,3,0,1,0,51,63,61
0,2,2,1,0,55,69,65
1,3,1,0,0,63,57,56
1,3,2,1,1,65,77,74
0,0,4,1,0,51,49,51
1,2,0,0,1,53,37,40
1,2,4,1,0,58,55,48
1,1,0,1,1,51,54,41
0,2,3,1,0,59,66,67
0,2,2,0,0,59,62,64
0,4,2,0,1,42,55,54
1,0,1,1,0,57,43,47
0,2,2,0,0,22,39,33
1,0,0,1,1,62,67,69
0,1,3,1,1,59,70,66
1,3,4,1,0,54,49,47
1,3,0,1,0,62,67,61
0,4,1,0,1,66,74,78
1,1,2,0,0,60,60,60
0,1,3,1,1,61,86,87
1,3,3,0,0,66,62,64
1,1,5,0,0,49,53,52
1,2,1,1,0,52,53,49
1,2,1,0,1,53,51,51
0,1,5,0,1,58,76,78
0,2,3,1,0,63,67,70
0,2,4,0,1,43,51,54
0,1,1,0,1,46,54,58
0,1,5,0,1,52,70,62
1,2,5,0,1,62,68,75
0,2,2,0,0,46,64,66
0,4,1,1,0,50,50,47
0,3,3,1,0,65,69,70
1,2,0,0,1,45,52,49
1,2,3,0,1,65,67,65
1,3,0,1,1,62,66,68
1,1,0,0,0,48,52,45
0,4,3,1,0,66,65,69
0,1,0,1,0,62,64,66
1,3,3,1,0,61,55,52
1,2,0,0,1,59,69,65
1,4,1,0,0,55,56,51
0,1,2,0,0,45,53,55
0,3,2,0,0,65,81,77
0,1,3,1,0,57,69,68
1,2,2,1,0,59,41,42
0,1,2,0,0,58,61,66
1,2,2,0,0,35,28,27
0,2,1,0,0,42,62,60
1,2,3,0,1,60,51,56
0,2,1,0,0,34,42,39
1,1,1,0,0,66,77,70
1,1,0,1,1,61,56,56
0,3,1,1,1,56,68,74
0,2,0,0,0,55,65,62
0,1,3,1,1,52,66,73
0,4,5,0,0,45,56,54
1,3,1,1,0,57,50,54
1,2,3,1,0,46,43,42
1,3,4,0,0,63,66,67
0,3,0,1,1,64,60,74
1,1,2,1,0,54,52,51
0,3,1,1,0,56,52,55
1,4,2,1,0,59,51,43
0,1,1,1,1,58,70,68
0,1,1,1,0,65,64,62
1,0,0,1,1,47,49,49
0,1,0,1,1,60,70,70
1,3,1,1,0,54,52,52
0,4,2,1,0,62,73,70
0,2,3,0,0,64,73,68
0,2,5,0,1,65,81,81
0,2,0,0,1,64,79,77
0,2,0,0,0,44,50,51
1,3,0,0,0,59,42,41
0,2,4,1,0,63,75,81
1,2,2,1,0,58,49,42
0,3,3,0,0,47,53,58
0,3,2,1,0,65,70,71
0,4,1,1,1,59,63,75
0,2,0,0,0,65,86,80
1,3,1,1,0,53,52,42
1,3,1,1,0,45,48,46
0,1,0,1,0,37,46,46
1,2,0,1,1,63,60,57
0,4,4,1,0,65,73,75
1,0,0,1,1,46,41,43
1,2,1,0,1,40,46,50
1,3,0,0,0,56,54,52
1,2,0,1,0,51,52,44
0,1,3,0,0,53,71,67
0,3,1,0,0,49,57,52
1,1,4,1,0,66,60,57
0,2,4,1,1,59,64,75
1,1,4,1,0,63,71,69
0,3,3,0,0,56,65,63
0,2,0,0,0,43,53,53
0,2,1,0,0,41,46,43
1,2,2,1,0,61,61,62
1,0,2,0,0,28,23,19
0,1,0,1,0,41,55,51
1,2,3,1,0,47,37,35
1,4,3,1,1,62,56,53
0,1,2,0,0,61,68,66
1,2,3,1,0,49,51,43
0,1,0,0,0,24,38,27
0,3,0,0,1,35,55,60
1,2,1,0,0,58,61,52
0,2,1,1,0,61,73,63
1,1,2,1,0,62,61,57
0,1,4,1,0,52,65,69
1,4,2,1,0,66,57,52
0,2,2,1,1,63,78,80
0,2,3,1,0,46,58,57
0,2,2,1,0,59,71,70
0,1,4,1,0,61,72,70
1,0,3,1,0,63,61,61
0,2,2,0,1,42,66,69
1,3,2,0,0,59,62,61
0,1,1,1,0,58,62,59
0,2,2,1,0,52,58,58
0,3,0,0,0,27,34,32
1,2,2,1,0,59,60,58
1,0,4,0,1,49,58,60
1,2,4,0,0,61,66,61
0,0,0,0,0,44,64,58
0,2,2,0,1,45,73,70
0,3,4,1,0,59,70,73
1,4,3,0,0,46,43,41
1,0,4,1,0,66,64,62
0,4,0,0,0,38,49,45
0,0,0,0,0,38,43,43
0,4,4,1,0,64,73,70
0,2,3,0,0,57,78,67
0,3,1,1,0,62,64,64
1,2,3,1,1,57,54,56
0,2,0,1,1,65,74,77
1,0,1,0,0,48,45,41
