altitude,temperature,precipitation,longitude,sunshine
4.0,8.4,823.6,7.47,1455.5
45.0,8.3,662.7,10.68,1615.3
5.0,8.8,693.8,8.78,1482.9
7.0,9.0,741.4,8.57,1480.2
39.0,8.9,656.2,10.02,1470.6
5.0,8.9,818.5,8.7,1635.8
18.0,8.3,819.9,9.32,1585.4
45.0,8.2,918.9,9.42,1482.9
2.0,8.5,791.0,9.42,1564.3
27.0,8.3,703.0,10.67,1595.8
11.0,8.6,770.3,9.98,1557.0
22.0,9.4,783.6,9.97,1486.8
18.0,9.0,790.4,10.12,1454.0
4.0,9.1,718.6,7.88,1682.8
2.0,8.2,836.6,9.0,1540.0
3.0,8.2,864.0,9.05,1499.0
7.0,8.6,791.5,7.9,1506.3
27.0,8.5,754.2,10.13,1626.5
4.0,8.3,776.9,10.08,1635.0
5.0,8.7,736.6,7.47,1543.0
9.0,8.2,741.0,9.87,1625.4
26.0,8.4,745.3,8.4,1714.0
11.0,8.9,611.8,10.42,1495.6
42.0,8.4,701.1,10.68,1482.9
26.0,8.4,874.5,9.97,1492.1
24.0,8.4,654.3,10.4,1571.1
5.0,8.5,810.3,8.6,1485.6
9.0,8.6,639.4,10.87,1619.7
1.0,8.4,792.8,8.57,1596.2
