gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
0,1,4,1,0,72,72,74
0,2,2,1,1,69,90,88
0,1,5,1,0,90,95,93
1,2,2,1,0,76,78,75
0,1,3,1,0,71,83,78
0,1,2,1,1,88,95,92
0,1,1,1,0,65,81,73
1,0,2,1,1,78,72,70
0,2,0,1,0,69,75,78
1,2,1,1,0,88,89,86
0,1,2,0,1,65,75,70
0,2,0,1,0,69,73,73
1,3,4,0,1,74,71,80
1,0,5,0,0,73,74,72
1,2,1,1,0,70,70,65
0,3,5,1,0,62,70,75
0,3,2,1,0,69,74,74
0,4,5,0,0,56,72,65
1,4,2,1,0,97,87,82
1,4,3,1,1,81,81,79
0,3,3,1,0,74,81,83
0,3,3,0,1,75,90,88
0,2,3,1,0,58,73,68
0,2,1,1,0,66,71,76
0,3,3,0,1,57,74,76
1,2,1,1,1,82,84,82
1,3,1,1,0,88,78,75
0,2,0,0,1,71,84,87
0,4,3,1,1,82,85,86
1,4,4,0,1,79,74,72
0,2,3,1,0,69,80,71
0,2,2,1,0,60,72,74
1,0,4,1,1,80,78,81
0,3,0,1,1,61,74,72
0,2,2,1,0,73,80,82
0,2,2,0,0,76,83,88
0,3,3,1,0,71,71,74
0,0,2,1,0,58,70,67
0,3,0,1,0,73,86,82
0,2,4,1,0,65,72,74
1,2,1,1,0,71,79,71
0,1,2,1,0,79,86,92
1,2,3,0,1,78,81,82
0,4,2,1,1,63,72,70
1,3,4,1,1,68,74,74
0,3,3,1,0,85,91,89
1,2,2,1,1,98,86,90
0,3,5,1,0,87,100,100
0,1,3,0,0,52,76,70
0,3,3,0,1,77,89,98
0,4,4,1,1,99,100,100
1,2,1,1,0,84,77,74
0,1,4,0,0,75,85,82
0,3,4,1,0,78,82,79
0,2,4,1,1,79,92,89
1,1,3,1,1,91,89,92
0,2,2,1,1,88,93,93
1,4,2,1,0,83,80,73
0,1,1,1,0,87,95,86
1,3,2,1,1,65,77,74
1,3,5,1,0,82,82,74
1,3,5,1,0,89,84,82
1,4,2,0,1,87,74,70
0,2,2,1,1,75,81,84
1,3,4,0,1,74,79,75
0,3,0,1,0,76,72,71
1,3,2,1,0,88,73,78
1,1,0,1,0,88,84,75
0,3,4,1,1,68,75,81
1,4,3,0,1,100,100,93
0,1,3,1,1,59,70,66
0,2,2,1,1,70,89,88
0,4,1,0,1,66,74,78
0,1,3,1,1,61,86,87
1,1,3,0,1,82,78,74
0,4,2,0,1,75,88,85
0,4,5,1,0,81,92,91
0,2,4,1,1,96,100,100
0,1,5,0,1,58,76,78
0,1,1,1,1,68,83,78
0,2,2,0,1,67,75,70
1,0,1,1,1,72,73,74
1,4,0,1,0,94,88,78
0,3,2,1,0,79,86,81
0,2,5,1,1,81,91,87
0,2,3,1,1,71,77,77
0,1,5,0,1,52,70,62
0,3,0,1,1,97,100,100
1,4,1,1,0,80,76,65
0,2,4,1,0,77,88,87
1,3,2,1,1,76,83,79
0,2,5,1,1,69,84,85
0,1,4,0,0,78,79,76
0,2,3,1,1,67,84,86
0,3,2,0,0,65,81,77
1,2,3,1,0,69,77,69
1,3,0,1,1,74,71,78
1,4,1,1,1,81,80,76
0,1,2,0,0,74,81,76
1,3,0,0,1,80,79,79
1,4,1,1,1,87,91,81
1,1,0,1,1,84,83,75
0,4,3,0,1,83,86,88
1,1,1,0,0,66,77,70
1,1,3,1,0,87,85,73
1,3,0,1,0,86,80,75
0,2,2,1,0,72,72,71
1,0,0,0,0,68,72,64
0,2,2,1,1,88,95,94
0,1,4,1,0,67,86,83
1,4,0,1,0,92,87,78
1,2,4,1,1,83,82,84
1,3,3,1,0,80,75,77
1,2,3,1,0,84,80,80
0,4,4,1,0,80,83,83
1,3,0,1,0,75,74,69
1,2,3,1,0,85,76,71
1,4,3,1,0,89,76,74
0,1,1,1,1,58,70,68
0,3,2,0,0,71,83,83
0,1,0,1,1,60,70,70
1,3,5,1,0,80,80,72
0,4,2,1,0,62,73,70
0,2,3,0,0,64,73,68
1,2,3,1,1,78,77,77
0,1,2,1,0,70,75,78
0,2,5,0,1,65,81,81
0,2,0,0,1,64,79,77
1,2,2,1,1,79,79,78
0,4,1,1,0,99,93,90
1,3,1,1,0,76,73,68
0,2,4,1,0,63,75,81
0,3,1,1,0,69,72,77
0,3,3,1,1,88,92,95
0,4,2,0,0,71,76,70
0,3,2,1,0,65,70,71
1,1,2,1,1,88,85,76
1,2,4,1,0,83,78,73
0,2,0,1,1,85,92,93
0,2,0,0,0,65,86,80
0,3,4,0,0,73,79,84
0,3,2,0,1,70,78,78
1,1,3,1,1,81,82,82
1,4,3,1,1,97,82,88
0,1,0,1,0,67,89,82
1,1,4,0,0,88,75,76
1,4,0,1,1,77,76,77
1,2,3,1,0,76,70,68
1,3,0,1,0,86,73,70
0,4,4,1,0,65,73,75
1,3,1,0,1,78,77,80
1,4,3,1,1,71,74,68
1,3,3,0,0,90,87,75
1,0,2,0,1,81,78,81
0,2,3,1,1,67,84,81
1,1,3,1,0,80,76,64
0,2,3,1,1,74,75,83
1,4,2,1,1,99,87,81
0,1,3,0,0,53,71,67
0,1,3,1,0,73,76,80
0,3,5,1,1,77,82,91
1,2,3,1,0,83,72,78
1,1,4,1,0,63,71,69
0,2,1,0,1,67,79,84
0,4,1,1,0,75,86,79
0,2,2,1,0,71,81,80
0,2,2,1,0,82,90,94
1,2,3,1,1,82,75,77
1,1,3,1,0,90,78,81
0,2,4,1,0,83,93,95
1,3,0,1,1,76,70,69
0,2,1,1,0,61,73,63
0,1,1,1,1,69,76,74
1,3,3,1,1,67,72,67
1,3,2,1,0,79,73,67
0,2,1,1,0,72,80,75
0,2,4,1,1,77,94,95
1,3,1,0,0,75,74,66
1,4,3,1,0,87,74,76
0,2,2,1,1,63,78,80
0,2,2,1,0,59,71,70
