altitude,temperature,precipitation,longitude,sunshine
46.0,8.2,791.5,10.2,1443.3
42.0,7.9,520.8,13.43,1805.3
4.0,8.4,823.6,7.47,1455.5
45.0,8.3,662.7,10.68,1615.3
15.0,8.4,535.8,11.18,1693.5
9.0,8.1,856.5,9.7,1472.3
18.0,8.3,819.9,9.32,1585.4
45.0,8.2,918.9,9.42,1482.9
2.0,8.4,809.2,9.23,1241.5
47.0,8.5,562.8,11.38,1517.1
2.0,8.5,791.0,9.42,1564.3
27.0,8.3,703.0,10.67,1595.8
6.0,8.1,565.0,13.4,1739.0
40.0,7.8,603.0,12.33,1606.6
2.0,8.2,836.6,9.0,1540.0
17.0,8.0,815.7,9.53,1573.8
3.0,8.2,864.0,9.05,1499.0
37.0,7.8,809.9,9.13,1505.1
27.0,8.5,754.2,10.13,1626.5
4.0,8.3,776.9,10.08,1635.0
7.0,7.9,834.6,8.93,1549.9
9.0,8.2,741.0,9.87,1625.4
26.0,8.4,745.3,8.4,1714.0
5.0,8.1,685.5,10.7,1619.2
42.0,8.4,701.1,10.68,1482.9
26.0,8.4,874.5,9.97,1492.1
38.0,8.5,510.9,12.8,1583.3
24.0,8.4,654.3,10.4,1571.1
40.0,7.9,607.8,13.47,1715.3
4.0,8.4,589.0,12.07,1686.5
5.0,8.5,810.3,8.6,1485.6
43.0,8.0,925.7,9.53,1598.3
21.0,8.5,541.0,11.72,1529.6
46.0,8.1,544.0,12.62,1607.2
3.0,8.3,571.2,11.05,1740.7
1.0,8.4,792.8,8.57,1596.2
