altitude,temperature,precipitation,longitude,sunshine
46.0,8.2,791.5,10.2,1443.3
794.0,6.4,1057.8,9.0,1096.5
325.0,8.1,803.0,13.08,1571.7
500.0,6.2,1252.2,10.43,1368.0
383.0,7.8,701.0,11.85,1590.5
54.0,8.3,532.1,13.98,1702.3
630.0,6.6,834.2,13.0,1432.6
413.0,8.3,721.9,10.57,1627.0
481.0,7.5,735.7,10.58,1642.1
42.0,7.9,520.8,13.43,1805.3
462.0,8.0,749.7,10.93,1691.8
560.0,7.6,902.0,9.67,1651.2
622.0,7.2,1523.7,8.27,1304.9
330.0,7.7,709.7,11.55,1491.6
789.0,6.6,1402.6,12.0,1390.7
450.0,8.0,1101.6,8.97,1527.8
445.0,7.0,1004.4,8.38,1277.2
290.0,7.7,901.7,8.52,1412.9
412.0,7.5,965.2,9.48,1518.8
45.0,8.3,662.7,10.68,1615.3
875.0,6.8,888.9,8.33,1503.5
373.0,8.3,625.5,9.63,1639.5
9.0,8.1,856.5,9.7,1472.3
607.0,5.9,1263.8,10.6,1474.2
1142.0,2.9,1814.1,10.62,1353.1
549.0,7.8,1258.3,11.93,1633.3
310.0,7.8,908.8,9.78,1492.1
340.0,8.1,804.1,9.32,1596.3
77.0,7.8,850.0,9.93,1420.6
396.0,7.9,752.4,12.67,1660.4
418.0,7.9,700.7,12.87,1532.6
566.0,6.2,1326.0,10.33,1337.9
480.0,7.9,814.0,7.05,1633.6
696.0,7.4,1503.5,8.48,1540.9
677.0,7.0,819.4,8.5,1697.0
192.0,8.3,1097.9,9.03,1358.8
692.0,6.9,756.7,8.53,1641.9
460.0,7.7,835.8,10.12,1393.4
705.0,6.8,942.3,9.3,1671.8
600.0,6.8,1403.5,8.47,1410.4
443.6,7.8,803.7,11.8,1659.9
18.0,8.3,819.9,9.32,1585.4
316.0,7.9,500.4,10.95,1588.3
1486.0,3.3,1909.2,8.0,1641.2
1213.0,2.9,1117.7,12.95,1515.6
45.0,8.2,918.9,9.42,1482.9
797.0,6.6,1680.7,8.4,1721.4
928.0,5.9,1190.4,8.25,1615.4
523.0,6.7,701.1,11.03,1521.5
255.0,8.0,664.7,9.67,1368.0
719.0,6.5,1363.5,11.05,1668.2
311.0,7.8,591.5,12.12,1601.9
238.0,8.2,656.7,14.95,1649.1
58.0,8.1,566.3,12.1,1610.7
27.0,8.3,703.0,10.67,1595.8
6.0,8.1,565.0,13.4,1739.0
40.0,7.8,603.0,12.33,1606.6
1436.0,2.7,1443.6,13.13,1676.8
55.0,7.9,482.7,13.93,1704.0
300.0,7.4,1052.5,10.23,1291.4
567.0,6.1,1280.7,10.33,1328.9
404.0,6.8,552.6,11.13,1510.3
500.0,6.8,879.3,10.12,1355.6
496.0,7.7,860.9,7.98,1394.7
2.0,8.2,836.6,9.0,1540.0
530.0,6.9,983.2,6.55,1428.9
1053.0,5.9,1730.9,10.43,1603.7
883.0,5.6,1405.8,8.1,1601.7
1008.0,6.1,1434.0,8.15,1765.3
567.0,6.4,742.0,11.87,1541.8
242.0,7.7,756.0,9.47,1254.0
977.0,6.5,1209.8,11.0,1820.3
17.0,8.0,815.7,9.53,1573.8
440.0,6.9,1028.1,9.53,1335.1
1125.0,4.8,1930.8,8.2,1583.8
438.0,7.6,872.0,11.67,1734.6
3.0,8.2,864.0,9.05,1499.0
37.0,7.8,809.9,9.13,1505.1
712.0,6.8,1599.8,10.03,1667.4
839.0,4.9,1475.9,8.48,1353.5
505.0,7.3,860.1,6.52,1527.8
487.0,6.7,807.9,10.13,1520.4
374.0,7.8,715.1,11.28,1505.8
585.0,7.4,971.9,10.85,1583.3
705.0,6.9,1273.4,10.33,1755.0
4.0,8.3,776.9,10.08,1635.0
805.0,5.6,1005.1,8.43,1461.3
973.0,6.2,899.4,8.75,1857.5
754.0,6.6,1040.2,8.42,1628.6
417.0,7.8,684.6,11.48,1620.0
850.0,6.9,1401.2,11.03,1683.9
776.0,6.5,1887.7,11.73,1362.8
520.0,7.7,950.2,10.42,1562.0
436.0,8.1,844.7,12.15,1703.5
747.0,6.7,961.5,9.7,1627.6
300.0,7.5,915.5,10.47,1337.4
344.5,8.1,745.9,10.97,1574.8
7.0,7.9,834.6,8.93,1549.9
9.0,8.2,741.0,9.87,1625.4
365.0,7.8,692.5,12.5,1659.9
356.0,7.5,662.6,10.3,1528.9
758.0,7.2,1024.3,9.52,1700.4
818.0,6.1,1306.4,8.2,1612.7
5.0,8.1,685.5,10.7,1619.2
444.0,7.9,1213.5,7.63,1497.1
419.0,7.8,907.9,6.8,1473.0
547.0,6.8,1168.7,7.95,1466.3
450.0,6.9,660.9,10.37,1487.7
77.0,8.0,594.8,13.03,1529.4
313.0,7.7,972.8,12.92,1555.2
621.0,7.5,1101.4,12.02,1530.7
405.0,8.0,897.2,12.5,1639.7
63.0,8.3,531.0,14.12,1636.7
515.0,8.1,958.9,11.5,1707.1
528.0,7.8,966.9,11.7,1709.1
81.0,7.9,536.1,13.18,1647.9
500.0,7.2,803.8,9.4,1323.0
64.0,8.0,584.2,13.08,1669.6
425.0,8.0,648.3,10.5,1336.4
627.0,6.7,871.6,6.95,1540.9
490.0,7.7,1298.6,12.17,1493.8
806.0,6.1,1831.3,10.27,1596.2
409.0,8.0,936.6,13.47,1682.5
435.0,7.6,682.7,10.85,1365.3
386.0,7.5,581.1,12.12,1424.4
40.0,7.9,607.8,13.47,1715.3
1640.0,3.4,1971.6,12.68,1673.0
366.0,8.2,641.8,12.1,1646.0
470.0,8.0,1665.5,12.87,1489.5
690.0,6.2,1715.4,12.45,1720.9
444.0,8.3,1091.2,12.12,1588.8
747.0,6.8,1635.4,11.77,1549.5
588.0,7.3,865.6,8.63,1682.0
692.0,6.0,1837.3,12.65,1158.7
333.0,7.2,944.6,10.53,1449.0
795.0,6.2,1702.1,8.12,1524.0
609.0,5.3,1275.3,10.63,1377.2
43.0,8.0,925.7,9.53,1598.3
993.0,5.6,1503.2,8.18,1724.8
937.0,4.4,1288.3,10.77,1351.5
635.0,7.4,1088.4,8.63,1492.4
616.0,7.2,1463.2,12.98,1375.0
265.0,8.2,954.0,9.12,1313.4
504.0,6.2,1189.9,10.42,1485.4
444.0,7.7,908.9,11.8,1432.8
792.0,6.8,1364.5,10.72,1600.9
611.0,6.2,831.3,12.17,1354.0
360.0,8.0,944.2,13.02,1575.0
365.0,7.4,742.7,9.92,1382.3
